0.000,0.1200
0.012,0.42000
0.045,0.78500
0.09,2.00667
0.135,6.09667
0.18,25.01667
0.225,62.96333
0.27,82.40667
0.316,98.03500
0.362,114.78333
0.408,131.48000
0.454,140.06667
0.5,145.79667
0.545,152.36000
0.591,156.70500
0.637,159.25333
0.683,165.45333
0.73,171.45333
0.775,173.97000
0.821,181.44667
0.867,188.71667
0.913,193.61333
0.959,199.31000
1.004,203.37667
1.051,207.90000
1.095,215.17000
1.14,219.35000
1.185,221.27667
1.231,228.10500
1.276,228.88000
1.323,232.51333
1.37,237.95333
1.416,239.87333
1.461,246.28000
1.507,248.54667
1.553,241.00000
1.598,246.18333
1.644,242.20000
1.69,240.76000
1.736,234.47667
1.782,226.76667
1.827,216.06500
1.873,199.79000
1.919,174.77333
1.966,142.95333
2.012,116.65000
2.059,88.66667
2.103,66.13000
2.148,46.49667
2.193,30.62500
2.238,20.67333
2.284,12.90667
2.33,6.35000
2.375,4.51667
2.422,2.51500
2.467,1.59333
2.513,1.02667
2.558,0.71667
2.605,0.51000
2.65,0.38667
2.696,0.29667
2.742,0.24333
2.788,0.21000
2.834,0.19333
2.881,0.19000
2.926,0.17333
2.973,0.00000
3.000,0.00000
