time,thrust
0,0.42
0.045,0.4
0.060666667,0.42
0.076333333,0.48
0.092,0.51
0.1145,0.54
0.137,0.52
0.152,0.66
0.167,0.76
0.182,0.81
0.205,0.91
0.228,0.93
0.243666667,1.04
0.259333333,1.16
0.275,1.23
0.290333333,1.42
0.305666667,1.65
0.321,1.87
0.344,2.32
0.367,2.53
0.382,3.68
0.397,3.42
0.412,4.26
0.4345,8.57
0.457,18.27
0.472,35.72
0.487,49.23
0.502,56.45
0.5245,81.07
0.547,89.17
0.5695,94.04
0.592,94.93
0.615,96.64
0.638,98.24
0.653,105.07
0.668,110.34
0.683,115.6
0.7055,119.11
0.728,121.29
0.751,125.13
0.774,130.36
0.7965,132.89
0.819,139.13
0.842,141.52
0.865,143.69
0.911,147.16
0.934,148.84
0.957,154.72
0.972,156.35
0.987,157.88
1.002,161.92
1.025,167.34
1.048,169.24
1.0715,169.85
1.095,173.47
1.1175,175.65
1.14,176.83
1.187,177.41
1.201666667,178.45
1.216333333,186.92
1.231,184.35
1.254,187.18
1.277,189.62
1.2995,193.86
1.322,196.41
1.345,195.14
1.368,197.61
1.414,201.61
1.4365,201.68
1.459,199.01
1.4815,207.58
1.504,209.43
1.5265,207.05
1.549,210.35
1.5715,211.96
1.594,207.8
1.617,213.7
1.64,214.14
1.6625,214.21
1.685,214.53
1.7075,221.67
1.73,222.96
1.753,222.23
1.776,219.98
1.799,224.21
1.822,220.4
1.8445,221.54
1.867,224.42
1.8905,220.93
1.914,223.22
1.937,221.01
1.96,221.71
1.983,219.17
2.006,222.42
2.029,213.36
2.052,221.38
2.0745,209.75
2.097,213.89
2.12,212.25
2.143,205.22
2.1655,205.95
2.188,204.64
2.211,200.2
2.234,195.21
2.2565,196.37
2.279,192.67
2.3015,183.12
2.324,188.47
2.347,186.78
2.37,179.16
2.3925,181.64
2.415,174.29
2.4375,153.81
2.46,158.86
2.4825,145.18
2.505,140.21
2.5275,136.21
2.55,116.85
2.5725,117.89
2.595,101.32
2.618,94.85
2.641,80.2
2.6645,67.66
2.688,54.83
2.7105,47.69
2.733,30.16
2.748333333,18.24
2.763666667,8.76
2.779,3.82
2.802,1.66
2.825,0.6
2.8475,0.35
2.87,0.17
2.885,0.2
2.9,0.14
2.915,0.1
2.938,0.13
2.961,0.15
2.9845,0.14
3.008,0.16
3.023333333,0.14
3.038666667,0.16
3.054,0.13
3.0765,0.16
3.099,0.13
3.1215,0.17
3.144,0.15
3.1665,0.18
3.189,0.15
3.2115,0.16
3.234,0.15
3.249,0.17
3.264,0.17
3.279,0.18
3.3015,0.16
3.324,0.15
3.3465,0.16
3.369,0.16
3.384,0.16
3.399,0.14
3.414,0.16
3.437,0.16
3.46,0.17
3.475,0.17
3.49,0.16
3.505,0.14
3.5275,0.15
3.55,0.17
3.565,0.16
3.58,0.16
3.595,0.16
3.61,0.15
3.625,0.14
3.64,0.14
3.6625,0.14
3.685,0.15
3.7,0.16
3.715,0.15
3.73,0.15
3.7525,0.15
3.775,0.15
3.79,0.15
3.805,0.15
3.82,0.15
3.8425,0.15
3.865,0.15
3.880333333,0.13
3.895666667,0.15
3.911,0.15
3.934,0.14
3.957,0.15
3.972333333,0.14
3.987666667,0.15
4.003,0.15
4.026,0.14
4.049,0.14
4.064333333,0.15
4.079666667,0.14
4.095,0.12
4.110333333,0.13
4.125666667,0.14
4.141,0.13
4.164,0.14
4.187,0.14
4.202333333,0.14
4.217666667,0.12
4.233,0.12
4.233,0.13
